AVG_TTR,MIN_AVG_TTR,Status,
2067,5915,BUSY,
2067,5915,BUSY,
2674,9105,OVERLOADED,
2674,9105,OVERLOADED,
1628,1247,FREE,
15866,1732,OVERLOADED,
15866,1732,OVERLOADED,
1911,4674,FREE,
11263,7353,OVERLOADED,
11263,7353,OVERLOADED,
3487,8371,OVERLOADED,
3487,8371,OVERLOADED,
2646,10829,OVERLOADED,
2646,10829,OVERLOADED,
2800,10178,OVERLOADED,
2800,10178,OVERLOADED,
20937,1682,OVERLOADED,
20937,1682,OVERLOADED,
6977,4684,BUSY,
6977,4684,BUSY,
39741,11267,OVERLOADED,
39741,11267,OVERLOADED,
23926,4235,OVERLOADED,
23926,4235,OVERLOADED,
2690,9214,OVERLOADED,
2690,9214,OVERLOADED,
2743,6816,BUSY,
2743,6816,BUSY,
2877,10982,OVERLOADED,
2877,10982,OVERLOADED,
12093,1563,OVERLOADED,
12093,1563,OVERLOADED,
1501,2374,FREE,
3722,1505,FREE,
1525,4577,BUSY,
1525,4577,BUSY,
6524,2665,BUSY,
6524,2665,BUSY,
1359,1458,FREE,
1391,1283,FREE,
1363,1404,FREE,
1325,1407,FREE,
1565,2057,FREE,
1324,1405,FREE,
1376,1329,FREE,
1371,1304,FREE,
2498,1429,FREE,
4357,11658,OVERLOADED,
4357,11658,OVERLOADED,
7166,11249,OVERLOADED,
7166,11249,OVERLOADED,
6073,11146,OVERLOADED,
6073,11146,OVERLOADED,
6810,2290,BUSY,
6810,2290,BUSY,
4237,1506,FREE,
1379,2794,FREE,
4518,4009,FREE,
3514,5740,BUSY,
3514,5740,BUSY,
3305,5719,BUSY,
3305,5719,BUSY,
3678,5724,BUSY,
3678,5724,BUSY,
8974,1587,BUSY,
8974,1587,BUSY,
9628,1814,OVERLOADED,
9628,1814,OVERLOADED,
7201,1878,BUSY,
7201,1878,BUSY,
7098,3028,BUSY,
7098,3028,BUSY,
7094,1648,BUSY,
7094,1648,BUSY,
4510,5579,BUSY,
4510,5579,BUSY,
4008,6627,BUSY,
4008,6627,BUSY,
1538,1909,FREE,
7318,6336,BUSY,
7318,6336,BUSY,
8422,7043,BUSY,
8422,7043,BUSY,
7472,13225,OVERLOADED,
7472,13225,OVERLOADED,
6452,8211,OVERLOADED,
6452,8211,OVERLOADED,
6670,10043,OVERLOADED,
6670,10043,OVERLOADED,
5911,10054,OVERLOADED,
5911,10054,OVERLOADED,
5773,9958,OVERLOADED,
5773,9958,OVERLOADED,
16237,1725,OVERLOADED,
16237,1725,OVERLOADED,
9652,3995,OVERLOADED,
9652,3995,OVERLOADED,
3735,4121,FREE,
5025,8408,OVERLOADED,
5025,8408,OVERLOADED,
4981,8121,OVERLOADED,
4981,8121,OVERLOADED,
9527,1764,OVERLOADED,
9527,1764,OVERLOADED,
1722,4513,BUSY,
1722,4513,BUSY,
1708,1301,FREE,
1499,1696,FREE,
1707,1686,FREE,
1724,1818,FREE,
1507,1853,FREE,
1733,1793,FREE,
1723,1457,FREE,
1517,1914,FREE,
1753,1756,FREE,
1790,1286,FREE,
1521,1721,FREE,
1716,1671,FREE,
1705,1693,FREE,
1524,1651,FREE,
1512,1688,FREE,
4482,7268,OVERLOADED,
4482,7268,OVERLOADED,
7722,2596,OVERLOADED,
7722,2596,OVERLOADED,
4044,3759,BUSY,
4044,3759,BUSY,
1469,1802,FREE,
1534,1670,FREE,
6434,11064,OVERLOADED,
6434,11064,OVERLOADED,
7490,9786,OVERLOADED,
7490,9786,OVERLOADED,
7332,9087,OVERLOADED,
7332,9087,OVERLOADED,
6301,11547,OVERLOADED,
6301,11547,OVERLOADED,
1674,3772,FREE,
10410,1311,OVERLOADED,
10410,1311,OVERLOADED,
9295,4074,OVERLOADED,
9295,4074,OVERLOADED,
10690,4170,OVERLOADED,
10690,4170,OVERLOADED,
9508,2125,OVERLOADED,
9508,2125,OVERLOADED,
8459,10293,OVERLOADED,
8459,10293,OVERLOADED,
4035,6459,BUSY,
4035,6459,BUSY,
7436,1721,BUSY,
7436,1721,BUSY,
6334,6935,BUSY,
6334,6935,BUSY,
1681,1742,FREE,
4788,5265,BUSY,
4788,5265,BUSY,
4174,6508,BUSY,
4174,6508,BUSY,
4047,6603,BUSY,
4047,6603,BUSY,
7532,1729,OVERLOADED,
7532,1729,OVERLOADED,
6041,1714,BUSY,
6041,1714,BUSY,
5994,1715,BUSY,
5994,1715,BUSY,
6017,2514,BUSY,
6017,2514,BUSY,
4097,5580,BUSY,
4097,5580,BUSY,
4803,1304,BUSY,
4803,1304,BUSY,
3999,3627,FREE,
4975,4406,BUSY,
4975,4406,BUSY,
1272,1280,FREE,
6966,6478,BUSY,
6966,6478,BUSY,
1243,1346,FREE,
1284,1254,FREE,
1249,1264,FREE,
1360,1383,FREE,
1477,1373,FREE,
1304,1293,FREE,
1331,1348,FREE,
1318,1444,FREE,
1259,1244,FREE,
1257,1249,FREE,
1249,1277,FREE,
4274,2903,BUSY,
4274,2903,BUSY,
5031,8670,OVERLOADED,
5031,8670,OVERLOADED,
1275,1302,FREE,
1305,1370,FREE,
3502,4264,BUSY,
3502,4264,BUSY,
1233,1238,FREE,
